0 x:196 y:87
1 x:303 y:98
2 x:305 y:97
3 x:305 y:97
4 x:309 y:99
5 x:309 y:99
6 x:309 y:99
7 x:309 y:99
8 x:310 y:100
9 x:310 y:100
10 x:310 y:100
11 x:310 y:100
12 x:309 y:102
12 x:205 y:91
13 x:309 y:102
13 x:205 y:91
14 x:311 y:103
14 x:206 y:92
15 x:311 y:103
15 x:206 y:92
16 x:208 y:94
17 x:208 y:94
18 x:311 y:106
18 x:208 y:94
19 x:311 y:106
19 x:208 y:94
20 x:311 y:104
20 x:207 y:93
21 x:311 y:104
21 x:207 y:93
22 x:311 y:104
22 x:208 y:92
23 x:311 y:104
23 x:208 y:92
24 x:311 y:103
24 x:206 y:92
25 x:311 y:103
25 x:206 y:92
26 x:310 y:103
26 x:206 y:92
27 x:310 y:103
27 x:206 y:92
28 x:206 y:92
29 x:206 y:92
30 x:206 y:93
31 x:206 y:93
32 x:207 y:96
33 x:207 y:96
34 x:210 y:100
35 x:210 y:100
36 x:212 y:104
37 x:212 y:104
38 x:214 y:108
39 x:214 y:108
40 x:215 y:110
41 x:215 y:110
42 x:214 y:111
43 x:214 y:111
44 x:321 y:128
45 x:321 y:128
46 x:324 y:130
47 x:324 y:130
48 x:328 y:131
49 x:328 y:131
52 x:349 y:140
53 x:349 y:140
54 x:354 y:139
55 x:354 y:139
56 x:362 y:140
57 x:362 y:140
58 x:369 y:142
58 x:268 y:131
59 x:369 y:142
59 x:268 y:131
60 x:381 y:146
60 x:275 y:133
61 x:381 y:146
61 x:275 y:133
62 x:285 y:136
63 x:285 y:136
64 x:395 y:150
64 x:294 y:137
65 x:395 y:150
65 x:294 y:137
66 x:402 y:152
66 x:299 y:139
67 x:402 y:152
67 x:299 y:139
68 x:409 y:154
68 x:305 y:141
69 x:409 y:154
69 x:305 y:141
70 x:414 y:155
70 x:311 y:142
71 x:414 y:155
71 x:311 y:142
72 x:417 y:156
72 x:314 y:143
73 x:417 y:156
73 x:314 y:143
74 x:316 y:142
75 x:316 y:142
76 x:317 y:141
77 x:317 y:141
78 x:318 y:143
79 x:318 y:143
80 x:317 y:146
81 x:317 y:146
82 x:315 y:148
83 x:315 y:148
84 x:311 y:149
85 x:311 y:149
86 x:307 y:149
87 x:307 y:149
88 x:406 y:165
88 x:305 y:150
89 x:406 y:165
89 x:305 y:150
90 x:404 y:167
91 x:404 y:167
92 x:403 y:169
93 x:403 y:169
94 x:401 y:169
95 x:401 y:169
96 x:400 y:169
97 x:400 y:169
98 x:399 y:169
99 x:399 y:169
100 x:400 y:167
101 x:400 y:167
102 x:401 y:167
102 x:298 y:154
103 x:401 y:167
103 x:298 y:154
104 x:300 y:156
105 x:300 y:156
106 x:301 y:157
107 x:301 y:157
108 x:301 y:158
109 x:301 y:158
110 x:301 y:158
111 x:301 y:158
112 x:304 y:157
113 x:304 y:157
114 x:303 y:157
115 x:303 y:157
116 x:305 y:159
117 x:305 y:159
118 x:409 y:177
118 x:307 y:161
119 x:409 y:177
119 x:307 y:161
120 x:409 y:179
121 x:409 y:179
122 x:411 y:180
123 x:411 y:180
124 x:416 y:182
125 x:416 y:182
126 x:419 y:184
127 x:419 y:184
128 x:419 y:184
129 x:418 y:184
130 x:417 y:183
131 x:417 y:183
132 x:417 y:183
132 x:314 y:167
133 x:417 y:183
133 x:314 y:167
134 x:314 y:167
135 x:314 y:167
136 x:317 y:165
137 x:317 y:165
138 x:319 y:166
139 x:319 y:166
140 x:319 y:166
141 x:317 y:166
142 x:317 y:167
143 x:317 y:167
144 x:317 y:169
145 x:317 y:169
146 x:317 y:171
147 x:317 y:171
148 x:423 y:188
148 x:319 y:170
149 x:423 y:188
149 x:319 y:170
150 x:425 y:189
151 x:425 y:189
152 x:425 y:189
153 x:423 y:189
154 x:421 y:190
155 x:421 y:190
156 x:419 y:190
157 x:419 y:190
158 x:415 y:187
159 x:415 y:187
160 x:413 y:184
161 x:413 y:184
162 x:411 y:182
162 x:307 y:166
163 x:411 y:182
163 x:307 y:166
164 x:411 y:182
164 x:307 y:166
165 x:408 y:179
165 x:305 y:164
166 x:405 y:178
166 x:301 y:163
167 x:405 y:178
167 x:301 y:163
168 x:401 y:179
168 x:297 y:164
169 x:401 y:179
169 x:297 y:164
170 x:399 y:181
170 x:295 y:166
171 x:399 y:181
171 x:295 y:166
172 x:397 y:183
172 x:293 y:168
173 x:397 y:183
173 x:293 y:168
174 x:396 y:185
174 x:293 y:170
175 x:396 y:185
175 x:293 y:170
176 x:396 y:185
176 x:293 y:170
177 x:393 y:186
177 x:289 y:171
178 x:287 y:171
179 x:287 y:171
180 x:284 y:171
181 x:284 y:171
182 x:281 y:172
183 x:281 y:172
184 x:274 y:173
185 x:274 y:173
186 x:270 y:173
187 x:270 y:173
188 x:270 y:173
189 x:267 y:172
190 x:265 y:171
191 x:265 y:171
192 x:264 y:172
193 x:264 y:172
194 x:364 y:187
195 x:364 y:187
196 x:361 y:187
197 x:361 y:187
198 x:358 y:188
199 x:358 y:188
200 x:358 y:188
201 x:355 y:188
202 x:353 y:188
203 x:353 y:188
204 x:350 y:187
205 x:350 y:187
206 x:348 y:187
207 x:348 y:187
208 x:347 y:186
208 x:242 y:172
209 x:347 y:186
209 x:242 y:172
210 x:347 y:186
210 x:242 y:172
211 x:345 y:186
211 x:241 y:171
212 x:345 y:186
212 x:241 y:171
213 x:344 y:185
213 x:240 y:170
214 x:345 y:185
214 x:240 y:171
215 x:345 y:185
215 x:240 y:171
216 x:345 y:186
216 x:240 y:172
217 x:345 y:186
217 x:240 y:172
218 x:343 y:186
218 x:238 y:172
219 x:343 y:186
219 x:238 y:172
220 x:340 y:187
220 x:236 y:174
221 x:340 y:187
221 x:236 y:174
222 x:340 y:187
222 x:236 y:174
223 x:339 y:189
223 x:235 y:175
224 x:339 y:189
224 x:235 y:175
238 x:336 y:190
238 x:232 y:175
239 x:336 y:190
239 x:232 y:175
240 x:339 y:190
240 x:235 y:176
241 x:339 y:190
241 x:235 y:176
242 x:340 y:190
242 x:236 y:175
243 x:340 y:190
243 x:236 y:175
244 x:342 y:189
244 x:238 y:175
245 x:342 y:189
245 x:238 y:175
246 x:342 y:189
246 x:238 y:175
247 x:345 y:190
247 x:241 y:176
248 x:345 y:190
248 x:241 y:176
249 x:345 y:191
249 x:242 y:177
250 x:345 y:192
250 x:242 y:178
251 x:345 y:192
251 x:242 y:178
252 x:347 y:193
252 x:244 y:179
253 x:347 y:193
253 x:244 y:179
268 x:371 y:197
268 x:269 y:182
269 x:371 y:197
269 x:269 y:182
270 x:371 y:197
270 x:269 y:182
271 x:374 y:197
271 x:271 y:182
272 x:374 y:197
272 x:271 y:182
273 x:378 y:198
273 x:275 y:183
274 x:381 y:200
274 x:279 y:185
275 x:381 y:200
275 x:279 y:185
276 x:384 y:201
276 x:281 y:186
277 x:384 y:201
277 x:281 y:186
278 x:386 y:202
278 x:283 y:187
279 x:386 y:202
279 x:283 y:187
280 x:386 y:202
280 x:283 y:187
281 x:387 y:204
281 x:285 y:189
282 x:387 y:204
282 x:285 y:189
283 x:389 y:204
283 x:286 y:189
284 x:389 y:204
284 x:286 y:189
298 x:389 y:203
298 x:286 y:188
299 x:389 y:203
299 x:286 y:188
300 x:389 y:204
300 x:285 y:189
301 x:389 y:204
301 x:285 y:189
302 x:387 y:204
302 x:284 y:189
303 x:387 y:204
303 x:284 y:189
304 x:387 y:204
304 x:284 y:189
305 x:385 y:203
305 x:282 y:189
306 x:385 y:203
306 x:282 y:189
307 x:383 y:203
307 x:279 y:188
308 x:383 y:203
308 x:279 y:188
309 x:379 y:202
309 x:276 y:187
310 x:374 y:202
310 x:271 y:187
311 x:374 y:202
311 x:271 y:187
312 x:370 y:202
312 x:267 y:187
313 x:370 y:202
313 x:267 y:187
314 x:366 y:202
314 x:264 y:187
315 x:366 y:202
315 x:264 y:187
316 x:366 y:202
316 x:264 y:187
317 x:362 y:202
317 x:259 y:187
318 x:362 y:202
318 x:259 y:187
319 x:355 y:204
319 x:252 y:188
320 x:355 y:204
320 x:252 y:188
321 x:349 y:205
321 x:246 y:189
322 x:347 y:204
322 x:243 y:189
323 x:347 y:204
323 x:243 y:189
324 x:345 y:204
324 x:242 y:188
325 x:345 y:204
325 x:242 y:188
326 x:345 y:203
326 x:241 y:188
327 x:345 y:203
327 x:241 y:188
328 x:345 y:203
328 x:241 y:188
343 x:236 y:192
344 x:236 y:192
345 x:340 y:207
345 x:236 y:192
346 x:339 y:208
346 x:235 y:193
347 x:339 y:208
347 x:235 y:193
348 x:339 y:208
348 x:236 y:193
349 x:339 y:208
349 x:236 y:193
350 x:341 y:208
350 x:237 y:193
351 x:341 y:208
351 x:237 y:193
352 x:341 y:208
352 x:237 y:193
353 x:342 y:208
353 x:238 y:192
354 x:342 y:208
354 x:238 y:192
355 x:345 y:208
